prefecture,latest_year,earliest_year,hits_3y,html_ratio,has_backnumber,score10,sample_links
三重県,2025,2010,31,0.56,1,9,http://www.pref.mie.lg.jp/common/content/001194107.pdf;http://www.pref.mie.lg.jp/common/content/001208864.pdf;http://www.pref.mie.lg.jp/common/content/001207317.pdf
京都府,2025,2006,8,0.21,0,5,http://www.pref.kyoto.jp/byogai/syurui.html;http://www.pref.kyoto.jp/byogai/documents/tokusyu2025_01.pdf;http://www.pref.kyoto.jp/byogai/documents/chuui2025_01.pdf
佐賀県,2025,2025,1,0.05,1,5,http://www.pref.saga.lg.jp/kiji003112663/index.html;http://www.pref.saga.lg.jp/kiji00321899/3_21899_363580_up_i0clesnt.pdf;http://www.pref.saga.lg.jp/kiji00321899/3_21899_362778_up_seq0dulp.pdf
兵庫県,2025,2018,206,1.0,0,9,https://bojo.hyogo-nourinsuisangc.jp/forecast;https://bojo.hyogo-nourinsuisangc.jp/forecast/r6;https://bojo.hyogo-nourinsuisangc.jp/forecast/r51
北海道,,,0,0.0,0,0,
千葉県,2025,2022,166,0.5,1,9,http://www.pref.chiba.lg.jp/lab-nourin/nourin/boujo/documents/20250716yohou04.pdf;http://www.pref.chiba.lg.jp/lab-nourin/nourin/boujo/documents/20250716hassei03.pdf;http://www.pref.chiba.lg.jp/lab-nourin/nourin/boujo/documents/20250716tokushuhou02.pdf
和歌山県,,,0,0.0,1,3,https://www.pref.wakayama.lg.jp/prefg/072000/d00216368_d/fil/r7hasseiyohou1.pdf;https://www.pref.wakayama.lg.jp/prefg/072000/d00216368_d/fil/r7hasseiyohou2.pdf;https://www.pref.wakayama.lg.jp/prefg/072000/d00216368_d/fil/r7hasseiyohou3.pdf
埼玉県,2025,2011,57,1.0,0,9,http://www.pref.saitama.lg.jp/soshiki/b0916/yosatsuho/index.html;http://www.pref.saitama.lg.jp/soshiki/b0916/yosatsuho/yoho/index.html;http://www.pref.saitama.lg.jp/soshiki/b0916/yosatsuho/chuiho/index.html
大分県,2025,2023,3,1.0,0,6,https://www.pref.oita.jp/site/oita-boujosho/yosatutou.html;https://www.pref.oita.jp/site/oita-boujosho/chuihou.html;https://www.pref.oita.jp/site/oita-boujosho/site-oita-boujosho-boujoin-html.html
大阪府,2025,2000,160,0.65,1,10,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html#yosatsujouhou;https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html#traptyousa;https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/color_gijutsushiryou.html
