url,depth,from,status,ctype,kind,title,years,text_len
https://www.pref.tochigi.lg.jp/g59/,0,root,200,text/html,html,栃木県／栃木県農業総合研究センター,2025|2024|2025|2025|2025|2025|2024|2009,2849
https://www.pref.tochigi.lg.jp/g59/documents/2025chuuihou2.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2025|2024,883
https://www.pref.tochigi.lg.jp/g59/documents/2025chuuihou3.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2025|2015|2024|2021|2024|2025|2025,1423
https://www.pref.tochigi.lg.jp/g59/documents/yohou202507.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2025|2025|2025|2025,1994
http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／病害虫発生予察情報,2025|2025|2025|2025|2023|2024|2024|2014|2024|2025|2025|2025|2025|2025|2025|2025|2025|2024|2023|2009,3776
http://www.pref.tochigi.lg.jp/g59/boujo/documents/2025chuuihou1.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025|2024|2025,703
http://www.pref.tochigi.lg.jp/g59/boujo/documents/2025chuuihou2.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025|2024,883
http://www.pref.tochigi.lg.jp/g59/boujo/documents/2025chuuihou3.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025|2015|2024|2021|2024|2025|2025,1423
http://www.pref.tochigi.lg.jp/g59/boujo/2023/yosatsu2023.html,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,text/html,html,栃木県／令和5年病害虫発生予察情報,2023|2023|2024|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2024|2023|2023|2023|2024|2023|2009,3366
http://www.pref.tochigi.lg.jp/g59/boujo/2024/yosatsu2024.html,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,text/html,html,栃木県／令和6年病害虫発生予察情報,2024|2024|2025|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2025|2024|2024|2024|2023|2009,3063
