prefecture,url,depth,parent,status,ctype,kind,title,h1,section,n_out_links,n_pdf_links
栃木県,https://www.pref.tochigi.lg.jp/g59/,0,,200,text/html,html,栃木県／栃木県農業総合研究センター,栃木県農業総合研究センター,g59,109,20
栃木県,https://www.pref.tochigi.lg.jp/g59/#tmp_honbun,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／栃木県農業総合研究センター,栃木県農業総合研究センター,g59,109,20
栃木県,https://www.pref.tochigi.lg.jp/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県公式ホームページ,栃木県,index.html,118,0
栃木県,https://www.pref.tochigi.lg.jp/english/foreignlanguage.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,Tochigi Prefecture / Foreign Language,Foreign Language,english/foreignlanguage.html,50,0
栃木県,https://www.pref.tochigi.lg.jp/juyo/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／重要なお知らせ,重要なお知らせ,juyo/index.html,26,0
栃木県,https://www.pref.tochigi.lg.jp/kurashi/bousai/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／危機管理・防災ポータルサイト,危機管理・防災ポータルサイト,kurashi/bousai,54,0
栃木県,https://www.pref.tochigi.lg.jp/kensei/kennososhiki/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／庁舎・組織の案内,庁舎・組織の案内,kensei/kennososhiki,258,0
栃木県,https://www.pref.tochigi.lg.jp/moji/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／文字サイズ・色合い変更,文字サイズ・色合い変更,moji/index.html,28,0
栃木県,https://www.pref.tochigi.lg.jp/bousai-anzen/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／防災・安全,防災・安全,bousai-anzen/index.html,67,0
栃木県,https://www.pref.tochigi.lg.jp/kurashi/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／くらし・環境,くらし・環境,kurashi/index.html,135,0
栃木県,https://www.pref.tochigi.lg.jp/fukushi/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／子育て・福祉・医療,子育て・福祉・医療,fukushi/index.html,116,0
栃木県,https://www.pref.tochigi.lg.jp/kyouiku/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／教育・文化,教育・文化,kyouiku/index.html,103,0
栃木県,https://www.pref.tochigi.lg.jp/shakaikiban/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／社会基盤,社会基盤,shakaikiban/index.html,95,0
栃木県,https://www.pref.tochigi.lg.jp/sangyou/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／産業・しごと,産業・しごと,sangyou/index.html,119,0
栃木県,https://www.pref.tochigi.lg.jp/kensei/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／県政情報,県政情報,kensei/index.html,188,0
栃木県,https://www.pref.tochigi.lg.jp/kensei/kennososhiki/g/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／農政部,農政部,kensei/kennososhiki,73,0
栃木県,https://www.pref.tochigi.lg.jp/g59/system/desaki/desaki/130kinen.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／130周年記念特設ページ,130周年記念特設ページ,g59/system,100,1
栃木県,https://www.pref.tochigi.lg.jp/g59/koukai.html,1,https://www.pref.tochigi.lg.jp/g59/,404,text/html,html,,,g59/koukai.html,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/20250807080621.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/nashisyuukakukimitusyou20250730.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025news13.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025news12.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025news11.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/yohou202507.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/ichigo202507.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/genkyou202507.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025news10_1.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025chuuihou3.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025chuuihou2.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/nousinews/top.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／農業総合研究センターニュース,農業総合研究センターニュース,g59/nousinews,258,161
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/point23.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025mugiseijuku0514.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/kenpou.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／農業総合研究センター研究報告,農業総合研究センター研究報告,g59/kenpou.html,98,3
栃木県,https://www.pref.tochigi.lg.jp/g59/greenagriculture.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／とちぎグリーン農業推進方針に基づく 環境負荷低減に向けた技術開発,とちぎグリーン農業推進方針に基づく 環境負荷低減に向けた技術開発,g59/greenagriculture.html,99,4
栃木県,https://www.pref.tochigi.lg.jp/g59/seikatop.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／農業総合研究センター研究成果集,農業総合研究センター研究成果集,g59/seikatop.html,96,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025-tomato-haiirokabi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025-ichigo-haiirokabi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025-ichigo-wataaburamushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025-inekamemushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/2025-chabaneaokamemushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/sosiki.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／組織と業務,組織と業務,g59/sosiki.html,106,12
栃木県,https://www.pref.tochigi.lg.jp/g59/documents/20240327140532.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,g59/documents,0,0
栃木県,https://www.pref.tochigi.lg.jp/g59/100_kensa/index.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／肥料・飼料・農薬,肥料・飼料・農薬,g59/100_kensa,113,5
栃木県,https://www.pref.tochigi.lg.jp/g59/500_hanbai/540_hanbai_youshiki.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／肥料・飼料・農薬の販売届様式,肥料・飼料・農薬の販売届様式,g59/500_hanbai,83,14
栃木県,https://www.pref.tochigi.lg.jp/g59/220_seisan/220-01_seisan_youshiki.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／肥料生産に関する申請・届出様式,肥料生産に関する申請・届出様式,g59/220_seisan,101,0
栃木県,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／病害虫発生予察情報,病害虫発生予察情報,g59/boujo,156,59
栃木県,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／病害虫技術情報,病害虫技術情報,g59/boujo,168,75
栃木県,https://www.pref.tochigi.lg.jp/g59/saibai.html,1,https://www.pref.tochigi.lg.jp/g59/,200,text/html,html,栃木県／技術情報（マニュアル・ポイント等）,技術情報（マニュアル・ポイント等）,g59/saibai.html,97,1
