prefecture,url,depth,parent,status,ctype,kind,title,h1,section,n_out_links,n_pdf_links
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,0,,200,text/html,html,茨城県農業総合センター病害虫防除部(病害虫防除所)／茨城県,茨城県農業総合センター病害虫防除部(病害虫防除所),nourinsuisan/nosose,54,0
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html#tmp_honbun,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,茨城県農業総合センター病害虫防除部(病害虫防除所)／茨城県,茨城県農業総合センター病害虫防除部(病害虫防除所),nourinsuisan/nosose,54,0
茨城県,https://www.pref.ibaraki.jp/index.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,ホーム／茨城県,茨城県,index.html,82,0
茨城県,https://www.pref.ibaraki.jp/ac.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,文字サイズ・色合い変更／茨城県,文字サイズ・色合い変更,ac.html,25,0
茨城県,https://www.pref.ibaraki.jp/site/foreign-language/index.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,ForeignLanguage／茨城県,ForeignLanguage,site/foreign-language,40,0
茨城県,https://www.pref.ibaraki.jp/search.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,検索結果／茨城県,検索結果,search.html,25,0
茨城県,https://www.pref.ibaraki.jp/kensaku.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,検索の仕方／茨城県,検索の仕方,kensaku.html,26,0
茨城県,https://www.pref.ibaraki.jp/soshiki/index.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,組織案内／茨城県,組織案内,soshiki/index.html,43,0
茨城県,https://www.pref.ibaraki.jp/important.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/html,html,緊急情報／茨城県,緊急情報,important.html,25,0
茨城県,https://www.pref.ibaraki.jp/important_rss.xml,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html,200,text/xml,xml,,,important_rss.xml,0,0
