no,area,prec_no
1,宗谷地方,11
2,上川地方,12
3,留萌地方,13
4,石狩地方,14
5,空知地方,15
6,後志地方,16
7,網走・北見・紋別地方,17
8,根室地方,18
9,釧路地方,19
10,十勝地方,20
11,胆振地方,21
12,日高地方,22
13,渡島地方,23
14,檜山地方,24
15,青森県,31
16,秋田県,32
17,岩手県,33
18,宮城県,34
19,山形県,35
20,福島県,36
21,茨城県,40
22,栃木県,41
23,群馬県,42
24,埼玉県,43
25,東京都,44
26,千葉県,45
27,神奈川県,46
28,長野県,48
29,山梨県,49
30,静岡県,50
31,愛知県,51
32,岐阜県,52
33,三重県,53
34,新潟県,54
35,富山県,55
36,石川県,56
37,福井県,57
38,滋賀県,60
39,京都府,61
40,大阪府,62
41,兵庫県,63
42,奈良県,64
43,和歌山県,65
44,岡山県,66
45,広島県,67
46,島根県,68
47,鳥取県,69
48,徳島県,71
49,香川県,72
50,愛媛県,73
51,高知県,74
52,山口県,81
53,福岡県,82
54,大分県,83
55,長崎県,84
56,佐賀県,85
57,熊本県,86
58,宮崎県,87
59,鹿児島県,88
60,沖縄県,91
61,南極,99
